Dev_Vendor,Dev_Model,Dev_IMEI,Dev_IMSI,Dev_Phone,Client_ID,Veh_Title,Veh_RegNo,Veh_Model,Veh_Type
Ulbotec,T30,868323028801345,111111111,,1,***TESTING***,***TESTING***,Mercedes Sprinter,Bs
Ulbotech,T30,868323028803390,,37254346547,1,1705,1705,Mercedes Sprinter,Bus
Ulbotech,T301,868323028784244,,37254347558,1,1706,1706,Mercedes Sprinter,Bus
Ulbotech,T301,868323028784244,,37254347883,1,1709,1709,Mercedes Sprinter,Bus
Ulbotech,T301,868323028775127,,37254346499,1,1710,1710,Mercedes Sprinter,Bus
Ulbotech,T301,868323028801329,,37254347254,1,1710,1710,Mercedes Sprinter,Bus
Ulbotech,T301,868323028785472,,37254347876,2,1710,1710,Mercedes Sprinter,Bus
Ulbotech,T301,868323028783212,,37254347576,13,1713,1713,Mercedes Sprinter,Bus
Ulbotech,T301,868323028810916,,37254347147,1,,171,,Bus
Teltonika,FM36M1,868323028782263,222222222,37251111111,1,1717,1717,Mercedes Sprinter,Bus
